,Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
214,Highlander,1986-03-07,He fought his first battle on the Scottish Highlands in 1536. He will fight his greatest battle on the streets of New York City in 1986. His name is Connor MacLeod. He is immortal.,6.893,2529,en,Adventure;Action;Fantasy,116,There can be only one.,19000000.0,12900000.0,Davis-Panzer Productions;Thorn EMI Screen Entertainment;Highlander Productions Limited,United Kingdom;United States of America,English,tt0091203
215,The Natural,1984-05-11,An unknown middle-aged batter named Roy Hobbs with a mysterious past appears out of nowhere to take a losing 1930s baseball team to the top of the league.,6.895,574,en,Drama,137,He lived for a dream that wouldn't die.,28000000.0,48000000.0,TriStar Pictures,United States of America,English,tt0087781
216,Reds,1981-12-25,"An account of the revolutionary years of the legendary American journalist John Reed, who shared his adventurous professional life with his radical commitment to the socialist revolution in Russia, his dream of spreading its principles among the members of the American working class, and his troubled romantic relationship with the writer Louise Bryant.",6.9,324,en,Drama;History;Romance,195,Not since Gone with the Wind has there been a great romantic epic like it!,35000000.0,40382659.0,JRS Productions;Barclays Mercantile Industrial Finance;Paramount Pictures,United States of America,English;suomi;Français;Deutsch;Italiano;Pусский,tt0082979
217,Starman,1984-12-13,"When an alien takes the form of a young widow's husband and asks her to drive him from Wisconsin to Arizona, the government tries to stop them.",6.9,833,en,Science Fiction;Romance;Drama,115,"In 1977 Voyager II was launched into space, inviting all lifeforms in the universe to visit our planet. Get ready. Company's coming.",22000000.0,28744356.0,Columbia Pictures;Michael Douglas-Jarry J. Franco Productions;Delphi II Productions,United States of America,English,tt0088172
218,At Close Range,1986-04-18,"Brad Whitewood Jr. lives in rural Pennsylvania and has few prospects. Against his mother's wishes, he seeks out his estranged father, the head of a gang of thieves in a nearby town. Though his new girlfriend supports his criminal ambitions, Brad Jr. soon learns that his father is a dangerous man. Inspired by the real events that led to the end of the Johnston Gang, who operated in the northeastern United States in the 1970s.",6.9,251,en,Crime;Drama;Thriller,111,Like father. Like son. Like hell.,6500000.0,2347000.0,Hemdale Film Corporation;Cinema '85,United States of America,English,tt0090670
219,In a Glass Cage,1986-08-06,"A mysterious teenager named Ángelo cares for Klaus, a German doctor with a dark past who lives trapped in an iron lung.",6.9,100,es,Drama;Horror;Thriller,112,Sin tagline,13112079.2,63838039.304709144,TEM Productores,Spain,Español,tt0090197
220,Barfly,1987-09-02,"Downtrodden writer Henry and distressed goddess Wanda aren't exactly husband and wife: they're wedded to their bar stools. But, they like each other's company—and Barfly captures their giddy, gin-soaked attempts to make a go of life on the skids.",6.9,327,en,Comedy;Drama;Romance,100,Some people never go crazy. What truly horrible lives they must lead.,3000000.0,3221568.0,Golan-Globus Productions;The Cannon Group;American Zoetrope,United States of America,English,tt0092618
221,Runaway Train,1985-11-15,A hardened convict and a younger prisoner escape from a brutal prison in the middle of winter only to find themselves on an out-of-control train with a female railway worker while being pursued by the vengeful head of security.,6.902,556,en,Action;Thriller;Drama;Adventure,111,"Desperate, And Determined To Survive.",9000000.0,7936012.0,Golan-Globus Productions;Northbrook Films;The Cannon Group,United States of America,English,tt0089941
222,Children of a Lesser God,1986-09-13,"Starting his new job as an instructor at a New England school for the deaf, James Leeds meets Sarah Norman, a young deaf woman who works at the school as a member of the custodial staff. In spite of Sarah's withdrawn emotional state, a romance slowly develops between the pair.",6.918,304,en,Drama;Romance,119,Love has a language all of its own.,13112079.2,31853080.0,Paramount Pictures,United States of America,English,tt0090830
223,Moonwalker,1988-10-29,"A movie that starts out with the ""Man in the Mirror"" music video, it then changes to a montage of video clips of Michael's career. Next comes a parody of his Bad video by children, and then Michael is chased by fans in a fantasy sequence. 2 more videos are shown, and then a movie in which Michael plays a hero with magical powers. In it he is chased by drug dealer Mr. Big and saves three children. Videos included in the movie are ""Smooth Criminal"" and ""Come Together"".",6.926,521,en,Fantasy;Music,93,A Movie Like No Other,22000000.0,67000000.0,Ultimate Productions;Will Vinton Productions;The Michael Jackson Company;Lorimar Motion Pictures;Warner Bros. Pictures,United States of America,English,tt0095655
224,Dressed to Kill,1980-07-25,"After witnessing a mysterious woman brutally slay a homemaker, prostitute Liz Blake finds herself trapped in a dangerous situation. While the police thinks she is the murderer, the real killer is intent on silencing her only witness.",6.929,893,en,Thriller;Mystery;Horror,105,Every nightmare has a beginning... This one never ends.,6500000.0,31899000.0,Filmways Pictures;Cinema 77 Films,United States of America,English,tt0080661
225,Southern Comfort,1981-09-24,"A squad of National Guards on an isolated weekend exercise in the Louisiana swamp must fight for their lives when they anger local Cajuns by stealing their canoes. Without live ammunition and in a strange country, their experience begins to mirror the Vietnam experience.",6.93,300,en,Action;Thriller,105,It's the land of hospitality... unless you don't belong there.,13112079.2,63838039.304709144,Cinema Group Ventures;Phoenix (II);20th Century Fox,United States of America,Français;English,tt0083111
226,Can't Buy Me Love,1987-08-14,"Nerdy high schooler Ronald Miller rescues cheerleader Cindy Mancini from parental punishment after she accidentally destroys her mother's designer clothes. Ronald agrees to pay for the $1,000 outfit on one condition: that she will act as though they're a couple for an entire month. As the days pass, however, Cindy grows fond of Ronald, making him popular. But when Ronald's former best friend gets left behind, he realizes that social success isn't everything.",6.932,649,en,Drama;Comedy;Romance,94,Ronald is making an investment in his senior year. He's hiring the prettiest cheerleader in school to be his girlfriend.,1800000.0,31623833.0,Apollo Pictures;Touchstone Pictures;The Mount Company;Silver Screen Partners III,United States of America,English,tt0092718
227,Enemy Mine,1985-12-12,"A soldier from Earth crashlands on an alien world after sustaining battle damage. Eventually he encounters another survivor, but from the enemy species he was fighting; they band together to survive on this hostile world. In the end the human finds himself caring for his enemy in a completely unexpected way.",6.944,943,en,Drama;Science Fiction,108,Enemies because they were taught to be. Allies because they had to be. Brothers because they dared to be.,40000000.0,12300000.0,Bavaria Film;SLM Production Group;Kings Road Entertainment;20th Century Fox,United States of America,English,tt0089092
228,Excalibur,1981-04-10,"A surreal adaptation of Sir Thomas Malory's ""Le Morte d'Arthur"", chronicling Arthur Pendragon's conception, his rise to the throne, the search by his Knights of the Round Table for the Holy Grail, and ultimately his death.",6.948,975,en,Adventure;Fantasy,141,Forged by a god. Foretold by a wizard. Found by a king.,11000000.0,35000000.0,Orion Pictures;Cinema 84;Warner Bros. Pictures,United Kingdom;United States of America,English,tt0082348
229,Silkwood,1983-12-14,"The story of Karen Silkwood, a metallurgy worker at a plutonium processing plant who was purposefully contaminated, psychologically tortured and possibly murdered to prevent her from exposing blatant worker safety violations at the plant.",6.952,311,en,Drama;Thriller,131,"On November 13, 1974, Karen Silkwood, an employee of a nuclear facility, left to meet with a reporter from the New York Times. She never got there.",10000000.0,35600000.0,ABC Motion Pictures,United States of America,English,tt0086312
230,Rumble Fish,1983-10-09,"Rusty James, an absent-minded street thug, struggles to live up to his legendary older brother's reputation and longs for the days when gang warfare was going on.",6.959,660,en,Crime;Drama,94,Rusty James can't live up to his brother's reputation. His brother can't live it down.,10000000.0,2494480.0,American Zoetrope;Hotweather Films,United States of America,English,tt0086216
231,The Hitcher,1986-01-17,"On a stormy night, young Jim, who transports a luxury car from Chicago to California to deliver it to its owner, feeling tired and sleepy, picks up a mysterious hitchhiker, who has appeared out of nowhere, thinking that a good conversation will help him not to fall asleep. He will have enough time to deeply regret such an unmeditated decision.",6.959,876,en,Horror;Action;Thriller,98,The terror starts the moment he stops.,6000000.0,5844868.0,Feldman/Meeker Productions,United States of America,English,tt0091209
232,Silverado,1985-07-10,"Four unwitting heroes cross paths on their journey to the sleepy town of Silverado. Little do they know the town where their family and friends reside has been taken over by a corrupt sheriff and a murderous posse. It's up to the sharp-shooting foursome to save the day, but first they have to break each other out of jail, and learn who their real friends are.",6.96,696,en,Western;Action,133,Four strangers become friends. Four friends become heroes. On the road to Silverado.,23000000.0,32192570.0,Columbia Pictures,United States of America,English,tt0090022
233,"sex, lies, and videotape",1989-08-04,"Ann, a frustrated wife, enters into counseling due to a troubled marriage. Unbeknownst to her, her husband John has begun an affair with her sister. When John’s best friend Graham arrives, his penchant for interviewing women about their sex lives forever changes John and Ann’s rocky marriage.",6.962,880,en,Drama,101,There can be no such thing as a private obsession.,1200000.0,24741667.0,Outlaw Productions;Virgin Vision;RCA Columbia Home Video,United States of America,English,tt0098724
234,Never Cry Wolf,1983-10-07,"A scientific researcher, sent on a government study: The Lupus Project, must investigate the possible ""menace"" of wolves in the north. To do so, he must survive in the wilderness for six months on his own. In the course of these events, he learns about the true beneficial and positive nature of the wolf species.",6.971,120,en,Adventure;Drama;Action,105,They thought he couldn't do the job. That's why they chose him.,11000000.0,63838039.304709144,Walt Disney Pictures,United States of America,English;,tt0086005
235,Moonlighting,1982-09-18,"A Polish contractor, Nowak, leads a group of workmen to London so they can provide cheap labor for a government official based there. Nowak has to manage the project and the men as they encounter the tempations of the West and loneliness and separation from their families. Nowak is the only one of the group who speaks English, and he uses this as a tool over his team. When the unrest in Poland leads to a military takeover, Nowak is faced with a much more difficult situation than he expected.",6.981,53,en,Drama,97,Sin tagline,13112079.2,63838039.304709144,Michael White Productions;Film4 Productions,United Kingdom,English;Polski,tt0084354
236,Body Heat,1981-08-28,"In the midst of a searing Florida heat wave, a woman convinces her lover, a small-town lawyer, to murder her rich husband.",6.985,579,en,Crime;Romance,113,"As the temperature rises, the suspense begins.",9000000.0,24058838.0,The Ladd Company;Warner Bros. Pictures,United States of America,English,tt0082089
237,Police Story 2,1988-08-13,The Hong Kong super-cop must stop a group of blackmailing bombers at the same time that the villains of the first Police Story are out for revenge.,6.989,512,cn,Action;Crime;Thriller,105,Jackie Chan escalates his one-man war on crime.,750000.0,11500000.0,Golden Way Films Ltd.;Paragon Films Ltd.;Orange Sky Golden Harvest,Hong Kong,广州话 / 廣州話,tt0095403
238,Ragtime,1981-11-20,"A young black pianist becomes embroiled in the lives of an upper-class white family set among the racial tensions, infidelity, violence, and other nostalgic events in early 1900s New York City.",6.994,155,en,Drama;History,155,"The passion, the violence, the birth of America's Gilded Age.",13112079.2,63838039.304709144,Paramount Pictures;Dino De Laurentiis Company;Sunley Productions Ltd.,United States of America,English,tt0082970
239,Day of the Dead,1985-07-03,A small group of scientists and soldiers take refuge in an underground missile silo where they struggle to control the flesh-eating dead that walks the Earth above.,7.0,1185,en,Horror;Drama;Mystery,101,The darkest day of horror the world has ever known!,3500000.0,34000000.0,Laurel Entertainment;United Film Distribution Company (UFDC),United States of America,English,tt0088993
240,Salvador,1986-04-23,"In 1980, an American journalist covering the Salvadoran Civil War becomes entangled with both the leftist guerrilla groups and the right-wing military dictatorship while trying to rescue his girlfriend and her children.",7.01,342,en,Drama;War;Thriller,123,"Dateline: 1980, El Salvador. Correspondent: Richard Boyle, Photojournalist - Guatemala, Iran, Vietnam, Chile, Belfast, Lebanon, Cambodia...",4500000.0,1500000.0,Hemdale;Cinema '85;Metro-Goldwyn-Mayer,United Kingdom;United States of America,Español;English,tt0091886
241,An Officer and a Gentleman,1982-07-28,"Zack Mayo is an aloof, taciturn man who aspires to be a navy pilot. Once he arrives at training camp for his 13-week officer's course, Mayo runs afoul of abrasive, no-nonsense drill Sergeant Emil Foley. Mayo is an excellent cadet, but a little cold around the heart, so Foley rides him mercilessly, sensing that the young man would be prime officer material if he weren't so self-involved. Zack's affair with a working girl is likewise compromised by his unwillingness to give of himself.",7.011,1070,en,Drama;Romance,124,"Life gave him nothing, except the courage to win...and a woman to love.",7500000.0,129795554.0,Paramount Pictures;Lorimar Film Entertainment,United States of America,English,tt0084434
242,Lethal Weapon 2,1989-07-07,"In the opening chase, Martin Riggs and Roger Murtaugh stumble across a trunk full of Krugerrands. They follow the trail to a South African diplomat who's using his immunity to conceal a smuggling operation. When he plants a bomb under Murtaugh's toilet, the action explodes!",7.012,3292,en,Action;Adventure;Comedy;Crime;Thriller,114,The magic is back!,25000000.0,227900000.0,Silver Pictures;Warner Bros. Pictures,United States of America,English;Afrikaans,tt0097733
243,Born on the Fourth of July,1989-12-20,"Paralyzed in the Vietnam war, Ron Kovic becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for.",7.012,1650,en,Drama;War,145,A story of innocence lost and courage found.,14000000.0,161001698.0,Universal Pictures;Ixtlan,United States of America,English;Español,tt0096969
244,Prince of the City,1981-08-19,"New York City detective Daniel Ciello agrees to help the United States Department of Justice help eliminate corruption in the police department, as long as he will not have to turn in any close friends. In doing so, Ciello uncovers a conspiracy within the force to smuggle drugs to street informants.",7.02,149,en,Drama;Thriller;Crime,167,A cop is turning. Nobody's safe.,8600000.0,8124257.0,Orion Pictures;Warner Bros. Pictures,United States of America,English;Español;Italiano,tt0082945
245,Bloodsport,1988-02-26,"U.S. soldier Frank Dux has come to Hong Kong to be accepted into the Kumite, a highly secret and extremely violent martial arts competition. While trying to gain access into the underground world of clandestine fighters, he also has to avoid military officers who consider him to be AWOL. After enduring a difficult training and beginning a romance with journalist Janice Kent, Frank is given the opportunity to fight. But can he survive?",7.02,1807,en,Action;Thriller,92,The true story of an American ninja.,1500000.0,65000000.0,The Cannon Group,United States of America,English;广州话 / 廣州話,tt0092675
246,Manhunter,1986-08-14,"FBI Agent Will Graham, who retired after catching Hannibal Lecter, returns to duty to engage in a risky cat-and-mouse game with Lecter to capture a new killer.",7.024,1297,en,Crime;Horror;Thriller,120,"It's just you and me now, sport…",15000000.0,8620929.0,DEG;Red Dragon Productions S.A.,United States of America,English,tt0091474
247,The Accused,1988-10-14,"After a young woman suffers a brutal rape in a bar one night, a prosecutor assists in bringing the perpetrators to justice, including the ones who encouraged and cheered on the attack.",7.024,572,en,Crime;Drama,111,The first scream was for help. The second is for justice.,13112079.2,63838039.304709144,Paramount Pictures Canada;Paramount Pictures;Jaffe-Lansing,Canada;United States of America,English,tt0094608
248,Ladyhawke,1985-03-27,"Captain Etienne Navarre is a man on whose shoulders lies a cruel curse. Punished for loving each other, Navarre must become a wolf by night whilst his lover, Lady Isabeau, takes the form of a hawk by day. Together, with the thief Philippe Gaston, they must try to overthrow the corrupt Bishop and in doing so break the spell.",7.028,1105,en,Adventure;Comedy;Fantasy,121,No force in Heaven will release them. No power on Earth can save them.,20000000.0,18432000.0,Warner Bros. Pictures;20th Century Fox,United States of America,English,tt0089457
249,The Dead Zone,1983-10-21,"Johnny Smith is a schoolteacher with his whole life ahead of him but, after leaving his fiancee's home one night, is involved in a car crash which leaves him in a coma for 5 years. When he wakes, he discovers he has an ability to see into the past, present and future life of anyone with whom he comes into physical contact.",7.029,1591,en,Thriller;Horror;Science Fiction,103,"In his mind, he has the power to see the future. In his hands, he has the power to change it.",10000000.0,20766616.0,Lorimar Film Entertainment;Dino De Laurentiis Company,Canada;United States of America,English;Pусский,tt0085407
250,Fright Night,1985-08-02,"Charley Brewster, a high school student, accidentally discovers the true and creepy nature of Jerry Dandrige, his dashing and enigmatic new neighbor; but no one seems willing to believe him.",7.031,1319,en,Comedy;Horror,107,There are some very good reasons to be afraid of the dark.,9000000.0,24922237.0,Columbia Pictures;Delphi IV Productions;Vistar Films,United States of America,English,tt0089175
251,Drowning by Numbers,1988-09-10,Three generations of women who seek to murder their husbands share a solidarity for one another which brings about three copy-cat drownings.,7.041,157,en,Comedy;Crime,119,Three Women And A Coroner.,13112079.2,63838039.304709144,Stimuleringsfonds Nederlandse Culturele Omroepproducties;Elsevier-Vendex Film Beheer;Allarts Production;Film4 Productions;VPRO,Netherlands;United Kingdom,English,tt0092929
252,Armour of God,1986-08-16,"Jackie Chan stars as Asian Hawk, an Indiana Jones-style adventurer looking to make a fortune in exotic antiquities. After Hawk discovers a mysterious sword in Africa, a band of Satan-worshipping monks kidnap his ex-girlfriend Lorelei, demanding the sword as ransom as well as other pieces of the legendary Armour of God - a magical outfit dating back to the Crusades.",7.047,534,cn,Adventure;Action;Comedy,98,Jackie Chan in his greatest adventure ever!,15000000.0,16000000.0,Orange Sky Golden Harvest;Paragon Films Ltd.,Hong Kong,广州话 / 廣州話,tt0091431
253,Say Anything...,1989-04-14,"Lloyd, an eternal optimist, seeks to capture the heart of Diane, an unattainable high school beauty and straight-A student. He surprises just about everyone-including himself-when she returns the sentiment. But Diane's over-possessive, divorced Dad disapproves and it's going to take more than just the power of love to conquer all.",7.048,957,en,Romance;Comedy;Drama,100,To know Lloyd Dobler is to love him. Diane Court is about to get to know Lloyd Dobler.,16000000.0,20036737.0,Gracie Films;20th Century Fox,United States of America,English,tt0098258
254,Gallipoli,1981-08-13,"As World War I rages, brave and youthful Australians Archy and Frank—both agile runners—become friends and enlist in the Australian and New Zealand Army Corps together. They later find themselves part of the Dardanelles Campaign on the Gallipoli peninsula, a brutal eight-month conflict which pit the British and their allies against the Ottoman Empire and left over 500,000 men dead.",7.056,467,en,War;History;Drama,112,From a place you never heard of...a story you'll never forget.,3000000.0,11700000.0,R & R Films;Australian Film Commission,Australia,English;Português,tt0082432
255,Raising Arizona,1987-03-13,"When a childless couple--an ex-con and an ex-cop--decide to help themselves to one of another family's quintuplets, their lives become more complicated than they anticipated.",7.057,2018,en,Comedy;Crime,94,Their lawless years are behind them. Their child-rearing years lay ahead...,6000000.0,29180280.0,Circle Films,United States of America,English,tt0093822
256,The Great Mouse Detective,1986-07-02,"When the diabolical Professor Ratigan kidnaps London's master toymaker, the brilliant master of disguise Basil of Baker Street and his trusted sidekick Dawson try to elude the ultimate trap and foil the perfect crime.",7.058,1596,en,Animation;Family;Adventure;Mystery,74,London's crime-fighting ace on his most baffling case!,14000000.0,38600000.0,Silver Screen Partners II;Walt Disney Pictures,United States of America,English,tt0091149
257,Dirty Rotten Scoundrels,1988-12-14,"Two con men try to settle their rivalry by betting on who can be the first to swindle a young American heiress out of $50,000.",7.067,845,en,Crime;Comedy,110,Nice guys finish last. Meet the winners.,6500000.0,42000000.0,Orion Pictures,United States of America,English,tt0095031
258,Escape from New York,1981-05-23,"In a world ravaged by crime, the entire island of Manhattan has been converted into a walled prison where brutal prisoners roam. After the US president crash-lands inside, war hero Snake Plissken has 24 hours to bring him back.",7.068,3047,en,Science Fiction;Action,99,1997. New York City is a walled maximum security prison. Breaking out is impossible. Breaking in is insane.,6000000.0,50244700.0,AVCO Embassy Pictures;Goldcrest;International Film Investors;City Films,United Kingdom;United States of America,English,tt0082340
259,Radio Days,1987-01-30,"The Narrator tells us how the radio influenced his childhood in the days before TV. In the New York City of the late 1930s to the New Year's Eve 1944, this coming-of-age tale mixes the narrator's experiences with contemporary anecdotes and urban legends of the radio stars.",7.069,549,en,Comedy,90,Sin tagline,16000000.0,63838039.304709144,Orion Pictures,United States of America,English,tt0093818
260,WarGames,1983-06-03,"High School student David Lightman has a talent for hacking. But while trying to hack into a computer system to play unreleased video games, he unwittingly taps into the Defense Department's war computer and initiates a confrontation of global proportions. Together with his girlfriend and a wizardly computer genius, David must race against time to outwit his opponent and prevent a nuclear Armageddon.",7.07,1809,en,Thriller;Science Fiction;Drama,114,"Is it a game, or is it real?",12000000.0,124600000.0,Sherwood Productions;United Artists,United States of America,English,tt0086567
261,The Lost Boys,1987-07-31,"When an unsuspecting town newcomer is drawn to local blood fiends, the Frog brothers and other unlikely heroes gear up to rescue him.",7.075,1964,en,Horror;Comedy;Thriller,97,Sleep all day. Party all night. Never grow old. Never die. It's fun to be a vampire.,8500000.0,32222567.0,Warner Bros. Pictures,United States of America,English,tt0093437
262,Rocky IV,1985-11-21,"Rocky Balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: Ivan Drago, a six-foot-four, 261-pound fighter who has the backing of the Soviet Union.",7.087,4300,en,Drama,91,He's facing the ultimate challenge. And fighting for his life.,31000000.0,300500000.0,Winkler Films;United Artists,United States of America,English,tt0089927
263,Drugstore Cowboy,1989-10-20,"Portland, Oregon, 1971. Bob Hughes is the charismatic leader of a peculiar quartet, formed by his wife, Dianne, and another couple, Rick and Nadine, who skillfully steal from drugstores and hospital medicine cabinets in order to appease their insatiable need for drugs. But neither fun nor luck last forever.",7.087,522,en,Drama;Crime,102,"Sooner or later, someone will pay the price.",2500000.0,4700000.0,Avenue Pictures,United States of America,English,tt0097240
264,Round Midnight,1986-01-09,"Inside the Blue Note nightclub one night in 1959 Paris, an aged, ailing jazzman coaxes an eloquent wail from his tenor sax. Outside, a young Parisian too broke to buy a glass of wine strains to hear those notes. Soon they will form a friendship that sparks a final burst of genius.",7.09,89,en,Drama,133,The music and the magic come together...,13112079.2,63838039.304709144,Little Bear;Productions et Éditions Cinématographiques Françaises,United States of America;France,English;Français,tt0090557
265,Quest for Fire,1981-12-16,"In the prehistoric world, a Cro-Magnon tribe depends on an ever-burning source of fire, which eventually extinguishes. Lacking the knowledge to start a new fire, the tribe sends three warriors on a quest for more. With the tribe's future at stake, the warriors make their way across a treacherous landscape full of hostile tribes and monstrous beasts. On their journey, they encounter Ika, a woman who has the knowledge they seek.",7.091,484,fr,Adventure;Drama,100,A Science Fantasy Adventure,12000000.0,55260558.0,Belstar Productions;Stéphan Films;International Cinema Corporation (ICC);Ciné Trail;Gruskoff Film Organization;Royal Bank of Canada;Famous Players Limited;20th Century Fox,Canada;France,No Language,tt0082484
266,Hoosiers,1986-11-14,"Failed college coach Norman Dale gets a chance at redemption when he is hired to coach a high school basketball team in a tiny Indiana town. After a teacher persuades star player Jimmy Chitwood to quit and focus on his long-neglected studies, Dale struggles to develop a winning team in the face of community criticism for his temper and his unconventional choice of assistant coach: Shooter, a notorious alcoholic.",7.094,485,en,Drama;Family,114,They needed a second chance to finish first.,9000000.0,28600000.0,Orion Pictures;De Haven Productions,United States of America,English,tt0091217
267,Terms of Endearment,1983-11-20,"Aurora, a finicky woman, is in search of true love while her daughter faces marital issues. Together, they help each other deal with problems and find reasons to live a joyful life.",7.096,731,en,Drama;Comedy,132,"Come to laugh, come to cry, come to care, come to terms.",8000000.0,108423749.0,Paramount Pictures,United States of America,English,tt0086425
268,Top Gun,1986-05-16,"For Lieutenant Pete 'Maverick' Mitchell and his friend and co-pilot Nick 'Goose' Bradshaw, being accepted into an elite training school for fighter pilots is a dream come true. But a tragedy, as well as personal demons, will threaten Pete's dreams of becoming an ace pilot.",7.1,8373,en,Drama;Action;Adventure,110,Up there with the best of the best.,15000000.0,356830601.0,Paramount Pictures;Don Simpson/Jerry Bruckheimer Films,United States of America,English,tt0092099
269,Witness,1985-02-08,"A sheltered Amish child is the sole witness of a brutal murder in a restroom at a Philadelphia train station, and he must be protected.  The assignment falls to a taciturn detective who goes undercover in a Pennsylvania Dutch community. On the farm, he slowly assimilates despite his urban grit, and forges a romantic bond with the child's beautiful mother.",7.101,1611,en,Crime;Drama;Romance;Thriller,112,A big city cop. A small country boy. They have nothing in common... but a murder.,12000000.0,68700000.0,Paramount Pictures,United States of America,Deutsch;English,tt0090329
270,Top Secret!,1984-06-08,"Popular and dashing American singer Nick Rivers travels to East Germany to perform in a music festival. When he loses his heart to the gorgeous Hillary Flammond, he finds himself caught up in an underground resistance movement. Rivers joins forces with Agent Cedric and Flammond to attempt the rescue of her father, Dr. Paul, from the Germans, who have captured the scientist in hopes of coercing him into building a new naval mine.",7.102,1133,en,Comedy,90,Don't tell anyone.,9000000.0,20500000.0,Paramount Pictures,United Kingdom;United States of America,English;;Deutsch,tt0088286
271,To Live and Die in L.A.,1985-11-01,A fearless Secret Service agent will stop at nothing to bring down the counterfeiter who killed his partner.,7.104,626,en,Crime;Thriller;Action,116,A federal agent is dead. A killer is loose. And the City of Angels is about to explode.,13112079.2,17307019.0,SLM Production Group;New Century Productions;United Artists,United States of America,Español;English,tt0090180
272,The Night of the Shooting Stars,1982-09-16,"The Night of San Lorenzo, the night of the shooting stars, is the night when dreams come true in Italian folklore. In 1944, a group of Italians flee their town after hearing rumours that the Nazis plan to blow it up and that the Americans are about to arrive to liberate them.",7.105,114,it,War;Drama,105,Sin tagline,13112079.2,63838039.304709144,Ager Cinematografica;RAI,Italy,Italiano;Deutsch,tt0084422
273,Breaker Morant,1980-06-11,"During the Boer War, three Australian lieutenants are on trial for shooting Boer prisoners. Though they acted under orders, they are being used as scapegoats by the General Staff, who hopes to distance themselves from the irregular practices of the war. The trial does not progress as smoothly as expected by the General Staff, as the defence puts up a strong fight in the courtroom.",7.106,137,en,Drama;History;War,107,A powerful true story of bitter revenge...,1000000.0,8200000.0,South Australian Film Corporation,Australia,Afrikaans;English,tt0080310
274,Gremlins,1984-06-08,"When Billy Peltzer is given a strange but adorable pet named Gizmo for Christmas, he inadvertently breaks the three important rules of caring for a Mogwai, unleashing a horde of mischievous gremlins on a small town.",7.108,6175,en,Fantasy;Horror;Comedy,106,Cute. Clever. Mischievous. Intelligent. Dangerous.,11000000.0,153083102.0,Amblin Entertainment;Warner Bros. Pictures,United States of America,English;Español,tt0087363
275,Field of Dreams,1989-04-21,"Ray Kinsella is an Iowa farmer who hears a mysterious voice telling him to turn his cornfield into a baseball diamond. He does, but the voice's directions don't stop -- even after the spirits of deceased ballplayers turn up to play.",7.111,1438,en,Drama;Fantasy,107,"All his life, Ray Kinsella was searching for his dreams. Then one day, his dreams came looking for him.",15000000.0,84431625.0,Universal Pictures;Gordon Company,United States of America,English,tt0097351
276,The Dark Crystal,1982-12-17,"On another planet in the distant past, a Gelfling embarks on a quest to find the missing shard of a magical crystal and restore order to his world, before the grotesque race of Skeksis find and use the crystal for evil.",7.113,1083,en,Adventure;Family;Fantasy,93,"Another world, another time...in the age of wonder.",15000000.0,40600000.0,ITC Entertainment;Henson Associates,United Kingdom;United States of America,English,tt0083791
277,The Professor,1986-09-12,An imprisoned murderer carries out a violent bid for control of Naples' underworld crime syndicate.,7.119,109,it,Crime;Drama,164,The man who taught the Godfather,13112079.2,63838039.304709144,Titanus;Reteitalia;Arlac Film,Italy,Italiano,tt0088879
278,Santa sangre,1989-11-24,A former circus artist escapes from a mental hospital to rejoin his mother - the leader of a strange religious cult - and is forced to enact brutal murders in her name.,7.12,417,es,Drama;Horror;Thriller,122,Forget Everything You Have Ever Seen...,787000.0,63838039.304709144,Productora Fílmica Real;Produzioni Intersound,Italy;Mexico,Español;English,tt0098253
279,The Land Before Time,1988-11-18,"An orphaned brontosaurus named Littlefoot sets off in search of the legendary Great Valley. A land of lush vegetation where the dinosaurs can thrive and live in peace. Along the way he meets four other young dinosaurs, each one a different species, and they encounter several obstacles as they learn to work together in order to survive.",7.134,2473,en,Family;Animation;Adventure,69,A new adventure is born.,12500000.0,84460846.0,Sullivan Bluth Studios;U-Drive Productions;Amblin Entertainment;Lucasfilm Ltd.;Universal Pictures,Ireland;United States of America,English,tt0095489
280,Roger & Me,1989-09-01,"A documentary about the closure of General Motors' plant at Flint, Michigan, which resulted in the loss of 30,000 jobs. Details the attempts of filmmaker Michael Moore to get an interview with GM CEO Roger Smith.",7.136,286,en,Documentary;History;Comedy,91,The story of a rebel & his mike.,160000.0,6706368.0,Dog Eat Dog Films;Warner Bros. Pictures,United States of America,English,tt0098213
281,The Fox and the Hound,1981-07-10,"When a feisty little fox named Tod is adopted into a farm family, he quickly becomes friends with a fun and adorable hound puppy named Copper. Life is full of hilarious adventures until Copper is expected to take on his role as a hunting dog -- and the object of his search is his best friend!",7.137,3145,en,Adventure;Animation;Drama;Family,82,A story of two friends who didn't know they were supposed to be enemies.,12000000.0,29800000.0,Walt Disney Productions,United States of America,English,tt0082406
282,Angel Heart,1987-03-06,"A down-and-out Brooklyn detective is hired to track down a singer on an odyssey that will take him through the desperate streets of Harlem, the smoke-filled jazz clubs of New Orleans, and the swamps of Louisiana and its seedy underworld of voodoo.",7.138,1478,en,Horror;Mystery,113,It will scare you to your very soul.,17000000.0,17185954.0,Winkast Film Productions;Union;Carolco Pictures,Canada;United Kingdom;United States of America,English;Français,tt0092563
